سؤال,رد
النظام ده بيعمل ايه؟,نِظام HR نظام مصري سحابي بيدير المرتبات والحضور والتأمينات والضريبة والإجازات وملفات الموظفين و CRM في مكان واحد. بيشتغل أونلاين ومعاه تطبيق ديسك توب.
ايه هو نظام نِظام؟,نظام موارد بشرية ومرتبات مصري متكامل للشركات الصغيرة والمتوسطة. بيحسب كل حاجة أوتوماتيك حسب القانون المصري ويوفّر وقتك آخر الشهر.
بكام الاشتراك؟,3 باقات شهريًا: الأساسية 750 جنيه والمتوسطة 2500 جنيه والمتقدمة 6000 جنيه. الفرق حسب عدد الموظفين والمميزات. وفيه تجربة 14 يوم مجانية.
الأسعار كام؟,750 و 2500 و 6000 جنيه في الشهر حسب الباقة وعدد موظفينك. جرّب الأول 14 يوم مجانًا من nidhamhr.com/signup
النظام بكام في الشهر؟,من 750 جنيه شهريًا للباقة الأساسية. حضرتك كام موظف عشان أرشّحلك الأنسب؟
فيه باقات ايه؟,3 باقات: أساسية 750 جنيه ومتوسطة 2500 جنيه ومتقدمة 6000 جنيه شهريًا. كلها بتشمل المرتبات والحضور والتأمينات والفرق في السعة والمميزات.
فيه تجربة مجانية؟,أيوه 14 يوم تجربة كاملة مجانًا بدون أي مصاريف وبدون بيانات دفع. سجّل من nidhamhr.com/signup
اقدر اجرب الأول؟,طبعًا. التجربة 14 يوم مجانية بالكامل وتدخّل موظفينك وتشوف كل حاجة قبل ما تدفع جنيه. ابدأ من nidhamhr.com/signup
التجربة المجانية كام يوم؟,14 يوم كاملة مجانًا بدون التزام. اللينك nidhamhr.com/signup
ازاي ابدأ؟,سجّل في التجربة المجانية من nidhamhr.com/signup وابدأ تضيف موظفينك في دقايق. ولو حابب نعملك ديمو سريع قوللي.
ازاي اسجل؟,من اللينك ده مباشرة nidhamhr.com/signup — بتدخل إيميلك وتبدأ على طول. لو واجهتك أي حاجة قوللي.
بيحسب المرتبات؟,أيوه بيحسب مرتب كل موظف أوتوماتيك: الصافي والتأمينات والضريبة والأوفر تايم والسلف والخصومات ويطلّع قسيمة لكل واحد بضغطة زر.
بيطلع قسيمة مرتب؟,أيوه قسيمة مرتب مفصّلة لكل موظف تقدر تطبعها أو تبعتها له.
بيحسب التأمينات؟,أيوه بيحسب التأمينات صح: 11% على الموظف و 18.75% على الشركة على الأجر التأميني — ويحميك من غرامات الهيئة.
التأمينات بتتحسب ازاي؟,على الأجر التأميني المحصور بين 2700 و 16700 جنيه لقيم 2026: 11% خصم على الموظف و 18.75% على الشركة. النظام بيعملها أوتوماتيك.
بيحسب الضريبة؟,أيوه بيحسب ضريبة كسب العمل بالشرائح المتدرجة 2026 لكل موظف ويجهّزلك إقرارات النموذج 4 والنموذج 27.
بيحسب الأوفر تايم؟,أيوه بنسب القانون: نهاري ×1.35 وليلي ×1.70 ويوم الراحة ×2 — من بيانات الحضور الفعلية ويضيفه للمرتب.
بيحسب نهاية الخدمة؟,أيوه بيحسب مكافأة نهاية الخدمة بالمادة 122 مع الإجازات المتراكمة ومستحقات الشهر الأخير ويطبع شهادة خبرة ونموذج 6.
